date,code_county,County,code_municipality,municipality,ha_trees,ha_notrees,ha_noforest,ha_forest
01/01/2024,24,Osona,80266,"Brull, el",0.00,0.00,0.00,0.00
01/01/2024,36,Tarragonès,431482,Tarragona,0.00,0.02,0.00,0.02
02/01/2024,7,Bages,80983,Sant Salvador de Guardiola,1.15,0.00,0.00,1.15
03/01/2024,6,Anoia,81614,Piera,0.00,0.00,0.00,0.00
03/01/2024,34,Selva,171931,Sils,0.43,0.00,0.00,0.43
03/01/2024,2,Alt Empordà,170010,Agullana,0.00,0.06,0.00,0.06
03/01/2024,36,Tarragonès,431482,Tarragona,0.00,0.00,0.00,0.00
04/01/2024,36,Tarragonès,431482,Tarragona,0.00,0.00,0.00,0.00
04/01/2024,20,Gironès,170736,Fornells de la Selva,0.04,0.00,0.00,0.04
06/01/2024,36,Tarragonès,431482,Tarragona,0.00,0.17,0.00,0.17
07/01/2024,34,Selva,170084,Anglès,0.00,0.00,0.00,0.00
07/01/2024,16,Conca de Barberà,430542,"Espluga de Francolí, l'",0.00,0.00,0.00,0.00
08/01/2024,10,Baix Empordà,170221,"Bisbal d'Empordà, la",0.00,0.00,0.00,0.00
08/01/2024,34,Selva,170084,Anglès,0.00,0.16,0.00,0.16
08/01/2024,10,Baix Empordà,170340,Calonge i Sant Antoni,0.00,0.00,0.00,0.00
08/01/2024,36,Tarragonès,430477,Constantí,0.00,1.35,0.00,1.35
09/01/2024,34,Selva,170237,Blanes,0.02,0.00,0.00,0.02
09/01/2024,10,Baix Empordà,170139,Begur,0.00,0.00,0.00,0.00
10/01/2024,20,Gironès,171668,Sant Jordi Desvalls,0.00,0.02,0.00,0.02
12/01/2024,14,Berguedà,80168,Bagà,0.00,0.04,0.00,0.04
13/01/2024,36,Tarragonès,431444,"Secuita, la",0.00,0.00,0.00,0.00
16/01/2024,9,Baix Ebre,430136,"Ametlla de Mar, l'",0.02,0.00,0.00,0.02
16/01/2024,29,Priorat,430555,Falset,0.00,0.02,0.00,0.02
17/01/2024,13,Barcelonès,81944,Sant Adrià de Besòs,0.00,0.01,0.00,0.01
18/01/2024,10,Baix Empordà,171175,Palafrugell,0.00,0.02,0.00,0.02
18/01/2024,34,Selva,170280,Brunyola i Sant Martí Sapresa,0.77,0.00,0.00,0.77
22/01/2024,2,Alt Empordà,170754,Garrigàs,0.00,0.08,0.00,0.08
23/01/2024,2,Alt Empordà,171582,Sant Climent Sescebes,0.00,0.30,0.00,0.30
23/01/2024,15,Cerdanya,170947,Llívia,0.00,0.00,0.00,0.00
24/01/2024,20,Gironès,170904,Llambilles,0.00,0.01,0.00,0.01
24/01/2024,36,Tarragonès,431444,"Secuita, la",0.05,0.14,0.10,0.19
25/01/2024,20,Gironès,171729,Sant Martí de Llémena,0.07,0.00,0.00,0.07
25/01/2024,34,Selva,170280,Brunyola i Sant Martí Sapresa,0.59,0.00,0.00,0.59
26/01/2024,21,Maresme,81939,Sant Iscle de Vallalta,0.01,0.00,0.00,0.01
27/01/2024,3,Alt Penedès,82495,Santa Fe del Penedès,0.01,0.00,0.00,0.01
28/01/2024,24,Osona,82476,Santa Eulàlia de Riuprimer,0.19,0.00,0.00,0.19
