County,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998
Alt Camp,"0,0","15,8","0,0","0,0","1,5","0,0","0,0","6,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","75,6","153,7","30,4","89,8","0,0","0,0","9,8","155,0","4,8"
Alt Empordà,"0,0","2,4","7,4","0,2","5,6","1,3","16,0","0,0","1,3","10,2","28,6","2,8","12,3","68,0","0,0","0,0","5,9","43,8","67,5","149,4","86,8","309,4","89,6","9,6","5,0"
Alt Penedès,"0,0","0,0","0,0","0,0","16,8","31,4","18,8","11,5","4,3","0,0","2,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0"
Alt Urgell,"2,5","0,0","0,0","21,5","0,4","0,0","0,0","0,0","1,3","0,0","17,4","1,0","0,0","21,2","0,0","0,0","0,0","0,0","0,0","4,7","0,0","0,0","0,0","60,0","43,1"
Alta Ribagorça,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,1","0,0","9,0","0,0"
Anoia,"0,0","8,0","0,0","7,0","16,0","12,7","54,9","6,7","17,0","2,0","1,0","0,0","1,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,5","2,3","2,6","0,0"
Aran,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","14,6","39,4","15,7","0,0","0,4","24,5","59,6","15,0","0,0"
Bages,"0,0","0,0","0,0","0,2","0,0","0,0","0,0","0,5","0,0","0,0","2,1","7,5","4,0","0,1","53,7","0,0","0,0","0,0","0,0","216,1","11,3","7,0","2,5","2,5","0,0"
Baix Camp,"0,0","0,0","0,0","0,0","0,4","0,0","0,0","0,0","0,0","8,3","1,0","0,0","8,2","65,5","0,0","0,0","31,5","0,0","0,0","33,5","0,0","0,0","49,2","45,3","5,3"
Baix Ebre,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,5","2,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Baix Empordà,"0,0","0,0","0,0","0,0","0,4","5,7","0,4","6,4","0,0","7,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","17,9","1,9","52,1","1,5","17,5","5,1","2,2","0,9"
Baix Llobregat,"0,0","0,0","0,0","0,0","0,0","1,1","0,0","0,0","7,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,4","2,8","1,7","0,0","4,7","5,4"
Baix Penedès,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,6","5,6","0,0","0,0","0,0","0,0","0,0","53,0","140,3","24,9","93,5","0,0","0,0","1,0","9,0","77,0"
Barcelonès,"0,0","0,0","0,0","0,0","1,7","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","22,8","0,0","25,5","9,5","0,0","0,0","0,0","0,0"
Berguedà,"0,0","0,0","0,0","0,2","3,0","0,0","0,0","3,7","0,8","0,3","89,6","0,0","0,0","6,4","134,0","140,5","0,0","56,6","0,0","32,9","41,0","32,3","0,1","26,8","43,2"
Cerdanya,"0,0","0,0","0,0","0,2","0,4","0,0","0,0","0,0","4,5","0,0","4,5","0,0","2,5","6,7","30,0","7,0","16,8","13,5","0,9","6,6","0,2","70,3","83,5","59,0","125,2"
Conca de Barberà,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","10,8","17,0"
Garraf,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Garrigues,"0,0","4,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,3","0,0","0,0","0,0","0,0"
Garrotxa,"0,0","0,0","0,0","0,2","4,6","6,6","0,0","0,0","0,0","0,9","0,0","1,1","0,0","0,0","0,0","0,0","0,0","6,7","0,0","2,5","3,3","11,0","0,0","0,6","0,0"
Gironès,"0,0","0,0","0,0","76,8","22,2","26,5","1,9","0,0","0,0","0,0","5,1","2,3","6,3","0,2","0,0","0,0","1,9","7,8","4,3","3,1","0,0","31,2","40,0","63,7","0,0"
Maresme,"0,0","0,0","11,4","0,0","5,9","8,9","2,0","3,9","9,5","3,0","0,0","5,7","3,2","0,0","0,0","8,7","18,1","46,7","0,0","14,0","8,8","11,7","3,0","2,1","0,0"
Moianès,"0,0","0,0","20,6","0,0","2,3","0,0","0,0","0,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montsià,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,6","0,0"
Noguera,"0,0","0,0","0,0","11,0","0,0","22,3","7,7","1,2","6,1","7,9","3,6","2,9","0,0","16,2","1,5","0,0","0,0","10,5","0,0","34,0","2,0","0,0","9,8","58,0","47,8"
Osona,"3,6","21,1","0,0","3,2","0,0","2,5","5,1","8,0","1,7","3,9","4,6","0,2","4,0","22,0","0,2","4,5","17,2","22,4","0,0","35,4","5,6","23,3","53,7","2,0","5,5"
Pallars Jussà,"0,0","0,0","0,0","0,2","0,4","0,0","0,0","0,5","0,0","0,0","0,0","6,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","22,7","0,0","343,0","55,5"
Pallars Sobirà,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,3","0,0","2,1","0,0"
Pla d'Urgell,"0,0","0,0","0,0","0,0","0,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","19,1","0,0","0,0"
Pla de l'Estany,"0,0","33,0","0,0","0,2","4,2","15,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,4","81,3","4,9","0,0"
Priorat,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,0","31,7","26,7","0,0","17,1","0,0"
Ribera d'Ebre,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","20,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","18,0"
Ripollès,"0,1","0,0","0,0","0,2","0,4","0,0","0,0","0,0","0,0","0,0","0,0","3,7","0,0","6,9","0,0","0,0","0,0","0,0","0,0","85,5","9,0","10,8","0,0","36,0","57,2"
Segarra,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","20,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Segrià,"28,5","0,0","0,0","0,0","0,0","1,4","0,0","0,0","13,0","0,0","0,0","0,8","0,0","75,6","130,7","444,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Selva,"21,7","62,6","8,9","72,1","27,5","50,4","34,2","47,5","30,7","11,9","31,4","16,7","28,1","90,7","87,2","62,8","40,1","172,1","18,3","402,0","257,6","293,6","145,5","94,1","118,5"
Solsonès,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,5","0,0","3,6","0,0","17,1","0,0","2,3","0,0","16,5","0,0","30,2","3,4","42,0","1,1","1,1","0,0"
Tarragonès,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Terra Alta,"0,0","0,0","0,0","0,0","1,0","1,7","0,0","0,0","0,0","0,0","5,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Urgell,"0,0","0,0","0,0","0,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Vallès Occidental,"0,0","5,2","0,0","0,0","0,0","0,0","0,0","0,3","1,7","0,0","0,0","0,0","0,0","118,2","5,7","0,0","103,2","76,3","0,0","0,0","0,0","0,8","0,6","0,0","0,0"
